id,subject,question,A,B,C,D,answer
1,國文,以下是一則論文摘要：「本文旨在說明臺灣國民小學至大學學生閱讀興趣與閱讀素養的關係，以及不同學齡階段的讀寫素養表現。不論年級，閱讀興趣與閱讀素養有正向關聯，然由一般學生投資於閱讀的時間反映出閱讀興趣有加強之必要。」若要以這段文字的核心概念標示一組關鍵詞，下列何者最恰當？,臺灣、學齡階段,國民小學、大學,正向關聯、閱讀時間,閱讀興趣、閱讀素養 ,D
2,國文,下列文句何者有語病？,他不但才華出眾，而且和藹可親,幸虧你事先做好準備，否則災情慘重,原來他有難言之隱，難怪總是愁眉不展,與其讓你在事後落淚，難道讓你犯錯懊悔 ,D
3,國文,「彎曲的生命旅路，常常會被安排與許多人與事錯身而過 甲甲 有些注定是淡漠的乙乙 並淪為遺忘 丙丙 有些則產生強烈衝擊 丁丁 終至刻骨銘心。」這段文字中的甲、,甲,乙,丙,丁,C
4,國文,下列文句，何者語詞使用最恰當？,你到底看見了什麼?豈非這樣驚訝,並非我與他相識，這件事絕不可能善罷甘休,你所說的無非是老生常談，他哪裡聽得進去,若非我故意和你唱反調，實在是你的做法不合理 ,C
5,國文,下列選項「」中的字，何組讀音相同？,「迄」今未成/「屹」立不搖,金鑲玉「嵌」/命運「坎」坷,寂「寥」冷清/「謬」誤百出,千叮萬「囑」/引人「矚」目 ,D
7,國文,「上個世代對於永續住宅的普遍想像，總是不出屋頂上鋪滿太陽能板、隨意利用各種回收廢棄物蓋成的缺乏整體感的建築物。許多這類大剌剌表現出『友善地球』的建築物，也因此極易成為建築純粹主義者嘲弄的對象。他們語帶不屑地認為，這簡直是以粗鄙的解決手法打敗了高尚審美觀。」根據這段文字，下列哪一種住宅的特點最符合「建築純粹主義者」的主張？,符合審美要求,講求永續發展,呈現建材原貌,滿足居住需求,A
9,國文,小平欲致贈匾額祝賀下列四個單位，匾額上所使用的題辭何者不恰當？,美滿家具店/版築有功,幸福大飯店/貴客盈門,健康醫院/仁心仁術,快樂國小/桃李滿門,A
10,國文,「夏七月，赤日停天，亦無風，亦無雲。前後庭赫然如洪爐，無一鳥敢來飛。 汗出遍身，縱橫成渠。置飯於前，不可得吃。呼簟欲臥地上，則地濕如膏， 蒼蠅又來緣頸附鼻，驅之不去。正莫可如何，忽然疾澍澎湃之聲，如數百萬 金鼓。簷溜浩於瀑布。身汗頓收，地燥如掃，蒼蠅盡去，飯便得吃。不亦快 哉!」根據這段文字，作者心情轉變的關鍵最可能是下列何者? ,發現美麗的景致,遠離擾人的蟲蠅,聽見悅耳的鼓聲,驟降消暑的大雨,D
11,國文,下列文句，何者用字完全正確? ,大考將近，更要懂得善用索碎的時間,來到默生的環境不免會令人感到緊張,我忘了帶錢，拜託你先幫我代墊報名費,這項工程是讓我國邁向現代化的里程盃 ,C
12,國文,「少室周為趙簡子之右1，聞牛談有力，請與之競，弗勝，致2右焉。簡子許之， 使少室周為宰，曰:『知賢而讓，可以為訓矣。』」根據文意脈絡，下列何者最 適合用來說明「訓」字的意義? ＊註解：1.右:職官名，立君主之右，擔任保衛工作 2.致:禮讓,典範,順從,教誨,解釋,A
